name,translatable,values,values-de-rDE,values-en-rCA,values-en-rGB,values-fr,values-fr-rCA,values-fr-rFR,values-nl,values-sv,values-it,values-fr-rBE,values-nl-rBE,values-en-rBE,values-fr-rCH,values-de-rCH,values-fr-rLU,values-de-rLU,values-en-rLU,values-de-rAT,values-en-rIE,values-pl,values-fi,values-es,values-cs,values-hu
distance,TRUE,Distance,Entfernung,Distance,Distance,Distance,Distance,Distance,Afstand,Avstånd,Distanza,Distance,Afstand,Distance,Distance,Entfernung,Distance,Entfernung,Distance,Entfernung,Distance,Odległość,Etäisyys,Distancia,Vzdálenost,Távolság
dlg_import_resume_text,TRUE,Save time by importing your resume. It also improves your chances of hearing back from employers by 4X.,"Verbessere deine Chancen, indem du deinen aktuellen Lebenslauf hochlädst.",Save time by importing your resume. It also improves your chances of hearing back from employers by 4X.,Save time by importing your CV. It also improves your chances of hearing back from employers by 4X.,Gagnez du temps en téléchargeant un CV. Cela augmente vos chances d\'être contacté(e) par un recruteur !,Gagnez du temps en téléchargeant un CV. Cela augmente vos chances d\'être contacté(e)par un recruteur !,Gagnez du temps en téléchargeant un CV. Cela augmente vos chances d\'être contacté(e) par un recruteur !,Bespaar tijd door je cv te uploaden. Ook heb je met een cv 4x zoveel kans dat werkgevers reageren op je sollicitatie!,Spara tid genom att ladda upp ditt CV. Det här ökar även dina chanser till att bil matchad med rätt jobb.,"Risparmia tempo importando il tuo curriculum. Inoltre, le possibilità di essere contattati dalle aziende sono 4 volte più alte.",Gagnez du temps en téléchargeant un CV. Cela augmente vos chances d\'être contacté(e) par un recruteur !,Bespaar tijd door je cv te uploaden. Ook heb je met een cv 4x zoveel kans dat werkgevers reageren op je sollicitatie!,Save time by importing your CV. It also improves your chances of hearing back from employers by 4X.,Gagnez du temps en téléchargeant un CV. Cela augmente vos chances d\'être contacté(e) par un recruteur !,"Verbessere deine Chancen, indem du deinen aktuellen Lebenslauf hochlädst.",Gagnez du temps en téléchargeant un CV. Cela augmente vos chances d\'être contacté(e) par un recruteur !,"Verbessere deine Chancen, indem du deinen aktuellen Lebenslauf hochlädst.",Save time by importing your CV. It also improves your chances of hearing back from employers by 4X.,"Verbessere deine Chancen, indem du deinen aktuellen Lebenslauf hochlädst.",Save time by importing your CV. It also improves your chances of hearing back from employers by 4X.,Oszczędź czas importując CV.,Säästä aikaa lisäämällä ansioluettelosi. Tämän avulla moninkertaistat mahdollisuutesi saada yhteydenoton työnantajalta.,Sube tu CV y aumentarás las posibilidades de que las empresas te contacten.,"Zlepši až 4x své šance tím, že nahraješ své CV",Importáld önéletrajzod. Időt spórolsz vele és növeled az esélyed a visszajelzésre.
doctorate,TRUE,Doctorate,Promotion/Doktorat,Doctorate,Doctorate,Doctorat,Doctorat,Doctorat,WO,Doktorand,Dottorato,Doctorat,Doctoraat,Doctorate,"Doctorat, MBA",Promotion/Doktorat,Doctorat,Promotion/Doktorat,Doctorate,Promotion/Doktorat,Doctorate,Doktorat,Tohtorinarvo,Doctorado,Doktorát,Doktori (PhD) fokozat
edit,TRUE,Edit,Bearbeiten,Edit,Edit,Modifier,Modifier,Modifier,Bewerk,Ändra,Modifica,Modifier,Bewerk,Edit,Modifier,Bearbeiten,Modifier,Bearbeiten,Edit,Bearbeiten,Edit,Edytuj,Muokkaa,Modificar,Upravit,Szerkesztés
edit_profile,TRUE,Edit Profile,Profil bearbeiten,Edit Profile,Edit Profile,Modifier le profil,Modifier le profil,Modifier le profil,Bewerk profiel,Ändra profil,Modifica Profilo,Modifier le profil,Bewerk profiel,Edit Profile,Modifier le profil,Profil bearbeiten,Modifier le profil,Profil bearbeiten,Edit Profile,Profil bearbeiten,Edit Profile,Edytuj profil,Muokkaa profiilia,Modificar Perfil,Upravit profil,Profil szerkesztése
education,TRUE,Education,Ausbildung,Education,Education,Mes diplômes,Mes diplômes,Mes diplômes,Opleiding,Utbildning,Istruzione  ,Mes diplômes,Opleiding,Education,Mes diplômes,Ausbildung,Mes diplômes,Ausbildung,Education,Ausbildung,Education,Wykształcenie,Koulutus,Formación,Vzdělání,Tanulmány
email,TRUE,Email,E-Mail-Adresse,Email,Email,Adresse email,Adresse courriel,Adresse email,E-mail,E-post,Email,Adresse email,E-mail,Email,Adresse email,E-Mail-Adresse,Adresse email,E-Mail-Adresse,Email,E-Mail-Adresse,Email,Email,Sähköposti,Correo electrónico,E-mail,E-mail
email_notifications,TRUE,Email,E-Mail,Email,Email,Email,Courriel,Email,E-mail,E-post,Email,Email,E-mail,Email,Email,E-Mail,Email,E-Mail,Email,E-Mail,Email,Email,Sähköposti,Email,E-mail,E-mail
email_sent,TRUE,Password reset email sent.,Die E-Mail zum Zurücksetzen ist unterwegs!,Password reset email sent.,Password reset email sent.,Email de réinitialisation de mot de passe envoyé.,Courriel de réinitialisation de mot de passe envoyé.,Email de réinitialisation de mot de passe envoyé.,Wachtwoord reset e-mail is verstuurd.,E-postmeddelande för återställning av lösenord skickat,Email per reimpostare la password inviata.,Email de réinitialisation de mot de passe envoyé.,Paswoord reset e-mail is verstuurd.,Password reset email sent.,Email de réinitialisation de mot de passe envoyé.,Die E-Mail zum Zurücksetzen ist unterwegs!,Email de réinitialisation de mot de passe envoyé.,Die E-Mail zum Zurücksetzen ist unterwegs!,Password reset email sent.,Die E-Mail zum Zurücksetzen ist unterwegs!,Password reset email sent.,Email resetujący hasło został wysłany.,Salasana nollattu ja sähköposti lähetetty.,Te hemos enviado un email para reiniciar tu contraseña.,Odeslali jsme e-mail pro resetování hesla.,Elküldtük az e-mailt új jelszó beállításhoz
empty_password,TRUE,Password must not be empty.,Bitte ein Passwort angelegen,Password must not be empty.,Password must not be empty.,Le mot de passe ne doit pas être vide.,Le mot de passe ne doit pas être vide.,Le mot de passe ne doit pas être vide.,Wachtwoord mag niet leeg zijn.,Du måste ange ett giltigt lösenord.,La password non può essere vuota.,Le mot de passe ne doit pas être vide.,Paswoord mag niet leeg zijn.,Password must not be empty.,Le mot de passe ne doit pas être vide.,Bitte ein Passwort angelegen,Le mot de passe ne doit pas être vide.,Bitte ein Passwort angelegen,Password must not be empty.,Bitte ein Passwort angelegen,Password must not be empty.,Wpisz hasło,Salasana-kohta ei voi olla tyhjä.,La contraseña no puede quedar vacía.,Políčko s heslem nesmí být prázdné.,A jelszó mező nem lehet üres.
invalid_password_whitespace,TRUE,Password must not contain whitespace.,Passwort darf keine Leerzeichen beinhalten.,Password must not contain whitespace.,Password must not contain whitespace.,Votre mot de passe ne doit contenir aucun espace.,Le mot de passe ne doit pas contenir d\'espaces en blanc,Votre mot de passe ne doit contenir aucun espace.,Wachtwoord mag geen spatie bevatten,Löseordet får inte innehålla blanksteg.,La password non può contenere spazi.,Votre mot de passe ne doit contenir aucun espace.,Paswoord mag geen spatie bevatten,Password must not contain whitespace.,Votre mot de passe ne doit contenir aucun espace.,Passwort darf keine Leerzeichen beinhalten.,Votre mot de passe ne doit contenir aucun espace.,Passwort darf keine Leerzeichen beinhalten.,Password must not contain whitespace.,Passwort darf keine Leerzeichen beinhalten.,Password must not contain whitespace.,Hasło nie może zawierać odstępów między znakami.,Salasana ei voi sisältää välilyöntejä.,Tu contraseña no debe contener ningún espacio.,Heslo nesmí obsahovat mezeru.,A jelszó nem tartalmazhat szóközt.
end_date,TRUE,End date,Ende,End date,End date,Date de fin,Date de fin,Date de fin,Einddatum,Slutdatum,Data di fine,Date de fin,Einddatum,End date,Date de fin,Ende,Date de fin,Ende,End date,Ende,End date,Data zakończenia,Päättymispäivä,Fecha de fin,Datum ukončení,Vége
error_api,TRUE,"Unable to contact server, please try again later.",Server konnte nicht erreicht werden. Bitte noch mal versuchen.,"Unable to contact server, please try again later.","Unable to contact server, please try again later.","Connexion avec le serveur impossible, veuillez réessayer","Connexion avec le serveur impossible, veuillez réessayer","Connexion avec le serveur impossible, veuillez réessayer","We kunnen de server even niet bereiken, probeer het later opnieuw.","Kunde inte kontakta servern, vänligen försök senare.","Impossibile contattare il server, si prega di riprovare più tardi.","Connexion avec le serveur impossible, veuillez réessayer","We kunnen de server even niet bereiken, probeer het later opnieuw.","Unable to contact server, please try again later.","Connexion avec le serveur impossible, veuillez réessayer",Server konnte nicht erreicht werden. Bitte noch mal versuchen.,"Connexion avec le serveur impossible, veuillez réessayer",Server konnte nicht erreicht werden. Bitte noch mal versuchen.,"Unable to contact server, please try again later.",Server konnte nicht erreicht werden. Bitte noch mal versuchen.,"Unable to contact server, please try again later.",Błąd połączenia z serwerem. Spróbuj ponownie.,"Palvelimeen ei saada yhteyttä, yritä myöhemmin uudelleen.","No ha sido posible contactar al servidor, inténtalo de nuevo más tarde.","Nelze zkontaktovat server, zkuste to později.","Nem sikerült a kapcsolódás, kérjük, próbáld újra."
error_email_exists,TRUE,An account with this email already exists. Please choose another or Sign In above.,Diese E-Mail-Adresse wird bereits verwendet. Bitte wähle eine Andere oder melde dich direkt an.,An account with this email already exists. Please choose another or Sign In above.,An account with this email already exists. Please choose another or Sign In above.,Cette adresse email est déjà utilisée. Veuillez saisir une autre adresse email ou connectez-vous ci-dessous.,Cette adresse courriel est déjà utilisée. Veuillez saisir une autre adressee email ou connectez-vous ci-dessous.,Cette adresse email est déjà utilisée. Veuillez saisir une autre adresse email ou connectez-vous ci-dessous.,Er bestaat al een account met dit e-mailadres. Kies een andere of log hierboven in.,Det finns redan en profil med den här e-postadressen. Vänligen ange en ny e-postadress eller logga in ovan.,Un account con questa email esiste già. Scegline un'altra o Accedi sopra.,Cette adresse email est déjà utilisée. Veuillez saisir une autre adresse email ou connectez-vous ci-dessous.,Er bestaat al een account met dit e-mailadres. Kies een andere of log hierboven in.,An account with this email already exists. Please choose another or Sign In above.,Cette adresse email est déjà utilisée. Veuillez saisir une autre adresse email ou connectez-vous ci-dessous.,Diese E-Mail-Adresse wird bereits verwendet. Bitte wähle eine Andere oder melde dich direkt an.,Cette adresse email est déjà utilisée. Veuillez saisir une autre adresse email ou connectez-vous ci-dessous.,Diese E-Mail-Adresse wird bereits verwendet. Bitte wähle eine Andere oder melde dich direkt an.,An account with this email already exists. Please choose another or Sign In above.,Diese E-Mail-Adresse wird bereits verwendet. Bitte wähle eine Andere oder melde dich direkt an.,An account with this email already exists. Please choose another or Sign In above.,Konto z tym adresem email już istnieje. Wybierz inne lub zaloguj się.,"Antamasi sähköpostiosoite on jo käytössä. Valitse toinen, tai kirjaudu sisään.",Este email ya está asociado a una cuenta. Ingresa otro email o Conéctate a tu cuenta.,"Účet s tímto e-mailem již existuje. Vyberte jiný, nebo se přihlašte kliknutím na tlačítko „Přihlásit se“ výše","Ezzel az e-mail címmel már regisztráltak. Jelentkezz be, vagy regisztrálj másikkal."
error_file,TRUE,"File error, please try again",Ein Fehler ist aufgetreten. Bitte noch mal versuchen.,"File error, please try again","File error, please try again","Erreur fichier, veuillez réessayer","Erreur fichier, veuillez réessayer","Erreur fichier, veuillez réessayer","Bestand fout, probeer het later opnieuw.","Fel på dokument, vänligen försök igen.","Errore, riprova","Erreur fichier, veuillez réessayer","Bestand fout, probeer het later opnieuw.","File error, please try again","Erreur fichier, veuillez réessayer",Ein Fehler ist aufgetreten. Bitte noch mal versuchen.,"Erreur fichier, veuillez réessayer",Ein Fehler ist aufgetreten. Bitte noch mal versuchen.,"File error, please try again",Ein Fehler ist aufgetreten. Bitte noch mal versuchen.,"File error, please try again",Błąd pliku. Spróbuj ponownie.,"Tiedostovirhe, ole hyvä ja yritä uudelleen.","Se ha producido un error, inténtalo de nuevo.","Chyba souboru, zkuste to znova.","Hibás fájl, próbáld újra."
error_no_email,TRUE,There is no email client installed.,Es ist keine E-Mail Anwendung installiert,There is no email client installed.,There is no email client installed.,Aucune boîte email installée.,Aucune boîte courriel installée.,Aucune boîte email installée.,Er is geen e-mailprogamma geïnstalleerd.,Du har ingen e-postklient installerad.,Non c'è alcun client di posta elettronica installato.,Aucune boîte email installée.,Er is geen e-mailprogamma geïnstalleerd.,There is no email client installed.,Aucune boîte email installée.,Es ist keine E-Mail Anwendung installiert,Aucune boîte email installée.,Es ist keine E-Mail Anwendung installiert,There is no email client installed.,Es ist keine E-Mail Anwendung installiert,There is no email client installed.,Brak zainstalowanego programu do obsługi skrzynki email.,Kyseisellä sähköpostilla ei löydy tiliä.,No hay ningún correo electrónico instalado.,Není nainstalován žádný e-mailový klient.,Nincs levelező telepítve.
error_server,TRUE,Server error,Serverfehler,Server error,Server error,Erreur serveur,Erreur serveur,Erreur serveur,Server fout,Serverfel,Errore del server,Erreur serveur,Server fout,Server error,Erreur serveur,Serverfehler,Erreur serveur,Serverfehler,Server error,Serverfehler,Server error,Błąd serwera,Palvelinvirhe,Error del servidor,Chyba serveru,Szerverhiba
existing_account,TRUE,"Already have an account? <font color=""#0D7AFF"">Sign In</font>","Bereits bei Monster registriert? <font color=""#0D7AFF"">Anmelden</font>","Already have an account? <font color=""#0D7AFF"">Sign In</font>","Already have an account? <font color=""#0D7AFF"">Sign In</font>","Vous avez déjà un compte ? <font color=""#0D7AFF"">Connectez-vous.</font>","Vous avez un compte ? <font color=""#0D7AFF"">Connectez-vous.</font>","Vous avez déjà un compte ? <font color=""#0D7AFF"">Connectez-vous.</font>","Heb je al een account? <font color=""#0D7AFF"">Log in</font>","Har du redan en profil? <font color=""#0D7AFF"">Logga in</font>","Hai già un account? <font color=""#0D7AFF""> Accedi </ font>","Vous avez déjà un compte ? <font color=""#0D7AFF"">Connectez-vous.</font>","Heb je al een account? <font color=""#0D7AFF"">Log in</font>","Already have an account? <font color=""#0D7AFF"">Sign In</font>","Vous avez déjà un compte ? <font color=""#0D7AFF"">Connectez-vous.</font>","Bereits bei Monster registriert? <font color=""#0D7AFF"">Anmelden</font>","Vous avez déjà un compte ? <font color=""#0D7AFF"">Connectez-vous.</font>","Bereits bei Monster registriert? <font color=""#0D7AFF"">Anmelden</font>","Already have an account? <font color=""#0D7AFF"">Sign In</font>","Bereits bei Monster registriert? <font color=""#0D7AFF"">Anmelden</font>","Already have an account? <font color=""#0D7AFF"">Sign In</font>","Masz już konto? <font color=""#0D7AFF"">Zaloguj się</font>","Onko sinulla jo tili?<font color=""#0D7AFF"">Kirjaudu sisään</font>","¿Ya tienes una cuenta? <font color=""#0D7AFF"">Conéctate.</font>","Už máš účet? <font color=""#0D7AFF"">Přihlásit se</font>","Már regisztráltál? <font color=""#0D7AFF"">Jelentkezz be</font>"
experience,TRUE,Experience,Berufserfahrung,Experience,Experience,Mon expérience,Mon expérience,Mon expérience,Ervaring,Erfarenhet,Esperienza,Mon expérience,Ervaring,Experience,Mon expérience,Berufserfahrung,Mon expérience,Berufserfahrung,Experience,Berufserfahrung,Experience,Doświadczenie,Kokemus,Experiencia,Zkušenost,Tapasztalat
facebook_app_id,FALSE,729793140438077,,729793140438077,729793140438077,,,,,,729793140438077,,,729793140438077,,,,,729793140438077,,729793140438077,,,,729793140438077,729793140438077
failed,TRUE,Failed,Fehlgeschlagen,Failed,Failed,Echecs,Echecs,Echecs,Mislukt,Felmeddelande,Incomplete,Echecs,Mislukt,Failed,Echecs,Fehlgeschlagen,Echecs,Fehlgeschlagen,Failed,Fehlgeschlagen,Failed,Błędne,Epäonnistui,Se ha producido un error,Nezdařené,Befejezetlen
failed_empty_message,TRUE,"Applications that fail to submit, appear here. Open them to resolve issues and reapply.","Bewerbungen werden nicht versendet, wenn wichtige Infos fehlen. Tippe einfach auf den Job, um Infos zu ergänzen und die Bewerbung erneut zu bestätigen.","Applications that fail to submit, appear here. Open them to resolve issues and reapply.","Applications that fail to submit, appear here. Open them to resolve issues and reapply.","Si une erreur survient lors de votre candidature à une offre, celle-ci apparaitra ici. Ouvrez chaque candidature en échec pour résoudre le problème.","Si une erreur survient lors de votre candidature à une offre, celle-ci apparaitra ici. Ouvrez chaque candidature en échec pour résoudre le problème.","Si une erreur survient lors de votre candidature à une offre, celle-ci apparaitra ici. Ouvrez chaque candidature en échec pour résoudre le problème.",Sollicitaties die niet gelukt zijn om te versturen verschijnen hier. Open om de problemen op te lossen en verstuur opnieuw.,Ansökningar som inte har skickats samlas här. Se över dessa och åtgärda felen för att ansöka igen.,Le candidature non a buon fine appaiono qui. Aprile per risolvere il problema e reinviarle.,"Si une erreur survient lors de votre candidature à une offre, celle-ci apparaitra ici. Ouvrez chaque candidature en échec pour résoudre le problème.",Sollicitaties die niet gelukt zijn om te versturen verschijnen hier. Open om de problemen op te lossen en verstuur opnieuw.,"Applications that fail to submit, appear here. Open them to resolve issues and reapply.","Si une erreur survient lors de votre candidature à une offre, celle-ci apparaitra ici. Ouvrez chaque candidature en échec pour résoudre le problème.","Bewerbungen werden nicht versendet, wenn wichtige Infos fehlen. Tippe einfach auf den Job, um Infos zu ergänzen und die Bewerbung abzuschließen.","Si une erreur survient lors de votre candidature à une offre, celle-ci apparaitra ici. Ouvrez chaque candidature en échec pour résoudre le problème.","Bewerbungen werden nicht versendet, wenn wichtige Infos fehlen. Tippe einfach auf den Job, um Infos zu ergänzen und die Bewerbung abzuschließen.","Applications that fail to submit, appear here. Open them to resolve issues and reapply.","Bewerbungen werden nicht versendet, wenn wichtige Infos fehlen. Tippe einfach auf den Job, um Infos zu ergänzen und die Bewerbung abzuschließen.","Applications that fail to submit, appear here. Open them to resolve issues and reapply.","W tym miejscu znajdują się aplikacje, których nie udało się wysłać. Otwórz je, aby uzupełnić brakujące dane i aplikować ponownie.","Hakemukset joita ei voitu lähettää, listautuvat tähän. Avaa hakemus, nähdäksesi ongelman ja hakeaksesi uudelleen.","Si un error se produce al momento de solicitar una oferta, este aparecerá aquí. Deberás abrir cada solicitud con error para resolver el problema.","Odpovědi, které se nepovedlo potvrdit, se zobrazí zde. Kliknutím zobrazíš detaily.","Ezek azok a pályázatok, amiket nem sikerült beküldeni. Nyisd meg őket a hiba megoldásához és pályázz rájuk."
failed_empty_title,TRUE,No failed applications,Keine fehlgeschlagenen Bewerbungen,No failed applications,No failed applications,Aucune candidature en échec,Aucune candidature en échec,Aucune candidature en échec,Geen mislukte sollicitaties,Inga inkompletta ansökningar,Nessuna candidatura fallita,Aucune candidature en échec,Geen mislukte sollicitaties,No failed applications,Aucune candidature en échec,Keine fehlgeschlagenen Bewerbungen,Aucune candidature en échec,Keine fehlgeschlagenen Bewerbungen,No failed applications,Keine fehlgeschlagenen Bewerbungen,No failed applications,Brak błędnych aplikacji,Ei epäonnistuneita hakuja,No hay solicitudes con error,Žádné nezdařené odpovědi.,Nincsenek sikertelen pályázatok
faq,TRUE,Frequently Asked Questions,Häufig gestellte Fragen (FAQ),Frequently Asked Questions,Frequently Asked Questions,Questions fréquentes,Questions fréquentes,Questions fréquentes,FAQ,FAQ,Domande frequenti,Questions fréquentes,FAQ,Frequently Asked Questions,Questions fréquentes,Häufig gestellte Fragen (FAQ),Questions fréquentes,Häufig gestellte Fragen (FAQ),Frequently Asked Questions,Häufig gestellte Fragen (FAQ),Frequently Asked Questions,Często zadawane pytania,Usein kysyttyjä kysymyksiä,Preguntas más frecuentes,Často kladené otázky,Gyakran ismételt kérdések
faq_url,TRUE,https://jobrhelp.zendesk.com/hc/en-us,https://jobrhelp.zendesk.com/hc/de,https://jobrhelp.zendesk.com/hc/en-ca,https://jobrhelp.zendesk.com/hc/en-gb,https://jobrhelp.zendesk.com/hc/fr-fr,https://jobrhelp.zendesk.com/hc/fr-ca,https://jobrhelp.zendesk.com/hc/fr-fr,https://jobrhelp.zendesk.com/hc/nl,,https://jobrhelp.zendesk.com/hc/it,https://jobrhelp.zendesk.com/hc/fr-fr,https://jobrhelp.zendesk.com/hc/nl,https://jobrhelp.zendesk.com/hc/en-gb,https://jobrhelp.zendesk.com/hc/fr-fr,https://jobrhelp.zendesk.com/hc/de,https://jobrhelp.zendesk.com/hc/fr-fr,https://jobrhelp.zendesk.com/hc/de,https://jobrhelp.zendesk.com/hc/en-gb,https://jobrhelp.zendesk.com/hc/de,https://jobrhelp.zendesk.com/hc/en-gb,https://jobrhelp.zendesk.com/hc/en-us,https://jobrhelp.zendesk.com/fi/en-us,https://jobrhelp.zendesk.com/hc/es-sp,https://jobrhelp.zendesk.com/hc/cz-cz,https://jobrhelp.zendesk.com/hc/en-us
feed,TRUE,Jobs,Jobsuche,Jobs,Jobs,Offres,Offres,Offres,Vacatures,Lediga jobb,Annunci,Offres,Vacatures,Jobs,Offres,Jobsuche,Offres,Jobsuche,Jobs,Jobsuche,Jobs,Oferty pracy,Työpaikat,Ofertas,Nabídky,Állások
feed_empty_message,TRUE,"There are no more jobs available. We add thousands of jobs every day to our database, so please try back soon!",Es sind keine passenden Jobs mehr verfügbar. Ändere den Filter oder das Stichwort im oberen Bereich der App. Oder komm bald wieder!,"There are no more jobs available. We add thousands of jobs every day to our database, so please try back soon!","There are no more jobs available. We add thousands of jobs every day to our database, so please try back soon!","Il n\'y a plus d\'offre disponible. De nouvelles offres sont publiées chaque jour sur notre app, alors revenez vite !","Il n\'y a plus d\'offre disponible. De nouvelles offres sont publiées chaque jour sur notre app, alors revenez vite !","Il n\'y a plus d\'offre disponible. De nouvelles offres sont publiées chaque jour sur notre app, alors revenez vite !","Er zijn geen relevante vacatures meer beschikbaar voor je. Dagelijks worden nieuwe vacatures toegevoegd, dus probeer het binnenkort nog een keer! Je kunt ook je afstand vergroten of andere zoektermen gebruiken. ",Det finns inga fler jobb tillgängliga. Vi uppdaterar vår jobbdatabas dagligen så pröva gärna imorgon igen.,"Non ci sono più annunci disponibili. Aggiungiamo migliaia di annunci ogni giorno, ti aspettiamo presto per trovarli!","Il n\'y a plus d\'offre disponible. De nouvelles offres sont publiées chaque jour sur notre app, alors revenez vite !","Er zijn geen relevante vacatures meer beschikbaar voor je. Dagelijks worden nieuwe vacatures toegevoegd, dus probeer het binnenkort nog een keer! Je kunt ook je afstand vergroten of andere zoektermen gebruiken.","There are no more jobs available. We add thousands of jobs every day to our database, so please try back soon!","Il n\'y a plus d\'offre disponible. De nouvelles offres sont publiées chaque jour sur notre app, alors revenez vite !",Es sind keine passenden Jobs mehr verfügbar. Ändere den Filter oder das Stichwort im oberen Bereich der App. Oder komm bald wieder!,"Il n\'y a plus d\'offre disponible. De nouvelles offres sont publiées chaque jour sur notre app, alors revenez vite !",Es sind keine passenden Jobs mehr verfügbar. Ändere den Filter oder das Stichwort im oberen Bereich der App. Oder komm bald wieder!,"There are no more jobs available. We add thousands of jobs every day to our database, so please try back soon!",Es sind keine passenden Jobs mehr verfügbar. Ändere den Filter oder das Stichwort im oberen Bereich der App. Oder komm bald wieder!,"There are no more jobs available. We add thousands of jobs every day to our database, so please try back soon!","Nie mamy więcej ofert pracy. Spróbuj ponownie wkrótce, ponieważ codziennie dodajemy tysiące nowych ofert!",Emme löydä enempää työpaikkoja. Lataamme päivittäin tuhansia työpaikkoja palveluumme. Yritä pian uudelleen.,"No hay más ofertas disponibles. Publicamos nuevas ofertas cada día en nuestra app, ¡no dudes en regresar pronto!",To byly všechny nabídky. Pro nový nášup čerstvých nabídek se vyplatí brzo zase přijít!,"Jelenleg nincs több állásunk számodra. Nézz vissza nemsokára, mert naponta kerülnek fel új ajánlatok!"
feed_empty_title,TRUE,No jobs,Noch keine passenden Jobs,No jobs,No jobs,Aucune offre,Aucune offre,Aucune offre,Geen vacatures,Inga lediga jobb,Nessun annuncio,Aucune offre,Geen vacatures,No jobs,Aucune offre,Noch keine passenden Jobs,Aucune offre,Noch keine passenden Jobs,No jobs,Noch keine passenden Jobs,No jobs,Brak ofert pracy,Ei työpaikkoja,No hay ofertas,Žádné nabídky,Nincsenek állások
feed_error_message,TRUE,There was an issue loading jobs. Please try again later.,Beim Laden der Jobs ist leider ein Fehler aufgetreten. Bitte versuche es gleich noch mal.,There was an issue loading jobs. Please try again later.,There was an issue loading jobs. Please try again later.,Nous avons rencontré un problème lors du chargement des offres. Veuillez réessayer plus tard.,Nous avons rencontré un problème lors du chargement des offres. Veuillez réessayer plus tard.,Nous avons rencontré un problème lors du chargement des offres. Veuillez réessayer plus tard.,Er was een probleem met het laden van de vacatures. Probeer het later nog een keer.,Det uppstod ett fel med visningen av lediga jobb. Vänligen försök igen senare.,C'è stato un problema durante il caricamento degli annunci. Per favore riprova più tardi.,Nous avons rencontré un problème lors du chargement des offres. Veuillez réessayer plus tard.,Er was een probleem met het laden van de vacatures. Probeer het later nog een keer.,There was an issue loading jobs. Please try again later.,Nous avons rencontré un problème lors du chargement des offres. Veuillez réessayer plus tard.,Beim Laden der Jobs ist leider ein Fehler aufgetreten. Bitte versuche es gleich noch mal.,Nous avons rencontré un problème lors du chargement des offres. Veuillez réessayer plus tard.,Beim Laden der Jobs ist leider ein Fehler aufgetreten. Bitte versuche es gleich noch mal.,There was an issue loading jobs. Please try again later.,Beim Laden der Jobs ist leider ein Fehler aufgetreten. Bitte versuche es gleich noch mal.,There was an issue loading jobs. Please try again later.,Wystąpił błąd podczas wczytywania ofert pracy. Spróbuj ponownie.,"Työpaikkoja ladatessa tapahtui virhe. Ole hyvä, ja yritä myöhemmin uudelleen.",Se ha producido un error durante la actualización de las ofertas. Vuelve a intentarlo más tarde.,Problém s načítáním nabídek. Zkuste to znova.,"Hiba történt az állások betöltésekor. Kérjük, próbáld meg később."
feedback,TRUE,Feedback,Feedback,Feedback,Feedback,Commentaires,Commentaires,Commentaires,Feedback,Feedback,Feedback,Commentaires,Feedback,Feedback,Commentaires,Feedback,Commentaires,Feedback,Feedback,Feedback,Feedback,Opinie,Palaute,Comentarios,Zpětná vazba,Visszajelzés
feedback_chooser_title,TRUE,Send mail…,Wird gesendet ...,Send mail…,Send mail…,Envoyer l\'email…,Envoyer l\'courriel…,Envoyer l\'email…,Verstuur e-mail…,Skicka e-post,Invia email...,Envoyer l\'email…,Verstuur e-mail…,Send mail…,Envoyer l\'email…,Wird gesendet ...,Envoyer l\'email…,Wird gesendet ...,Send mail…,Wird gesendet ...,Send mail…,Wyślij email…,Lähetä viestiä...,Enviar email...,Zaslat e-mail...,E-mail küldése …
feedback_subject,TRUE,Monster Android Feedback,Monster für Android Feedback,Monster Android Feedback,Monster Android Feedback,Commentaires Monster pour Android,Commentaires Monster pour Android,Commentaires Monster pour Android,Feedback voor Android Monster app,Monster Android feedback,Feedback su Monster per Android,Commentaires Monster pour Android,Feedback voor Android Monster app,Monster Android Feedback,Commentaires Monster pour Android,Monster für Android Feedback,Commentaires Monster pour Android,Monster für Android Feedback,Monster Android Feedback,Monster für Android Feedback,Monster Android Feedback,Opinie o aplikacji Monster,Monster Android -palaute,Comentarios sobre la app Monster Android,Monster Android Feedback,Monster Android visszajelzés
